Category,Product_ID,Total_Revenue,Total_Units
Children,11904,68285.52,574
Children,10656,66736.06,542
Children,10058,64828.52,551
Children,11332,64552.6,530
Children,12763,63278.35,514
Children,13803,63125.0,519
Children,9122,62750.57,487
Children,10864,62621.1,508
Children,9876,62362.130000000005,533
Children,9954,61631.25,499
Children,12399,60673.96,509
Children,13127,60250.7,475
Children,14323,60178.01,484
Children,13907,59684.6,482
Children,11800,59342.53,553
Children,14843,59140.92,519
Children,10526,59119.04,474
Children,14791,58997.32,502
Children,11436,58832.97,508
Children,13023,58180.98,504
Children,9668,57761.29,499
Children,10500,57389.15,517
Children,13205,57200.37,456
Children,11644,56751.58,511
Children,13049,56719.32,486
Children,11046,56236.16,531
Children,10630,55814.159999999996,513
Children,10396,55798.25,489
Children,10084,55786.24,514
Children,13101,55711.7,477
Children,14739,55447.56,470
Children,11020,55363.04,497
Children,12321,55350.49,490
Children,9746,55097.57,486
Children,14193,54716.03,491
Children,13699,54603.57,451
Children,9200,54503.880000000005,529
Children,12737,54236.9,526
Children,12451,54159.79,516
Children,10344,54066.88,499
Children,12373,54053.73,435
Children,10812,54002.66,507
Children,10448,53801.78,498
Children,3376,53674.12,433
Children,13673,53575.69,481
Children,13413,52849.479999999996,527
Children,13647,52824.33,498
Children,9824,52583.43,476
Children,6107,52554.12,407
Children,9590,52444.24,524
Children,9720,52372.25,474
Children,14609,52313.47,492
Children,9382,52169.55,516
Children,11670,51987.92,497
Children,14635,51846.75,480
Children,14063,51753.67,491
Children,14427,51663.24,456
Children,4858,51510.67,449
Children,13777,51393.39,459
Children,3688,51292.11,470
Children,11774,51248.13,481
Children,11358,51233.61,502
Children,14062,50599.35,435
Children,11410,50566.18,510
Children,13361,50494.14,456
Children,12035,50434.56,493
Children,9408,50396.369999999995,511
Children,9304,50275.52,504
Children,13855,50129.26,440
Children,14479,50097.56,474
Children,12971,49957.73,483
Children,9096,49898.549999999996,514
Children,6549,49787.3,454
Children,14557,49606.549999999996,515
Children,3844,49578.53,437
Children,7745,49156.95,448
Children,12295,49048.89,442
Children,14140,48922.96,422
Children,14583,48847.75,477
Children,4988,48828.54,440
Children,14764,48756.3,411
Children,12164,48650.4,447
Children,5196,48420.26,426
Children,6757,48392.32,441
Children,12425,48368.81,486
Children,12633,48241.58,479
Children,6133,48164.45,442
Children,6055,48110.29,432
Children,12815,48076.16,477
Children,9330,48011.54,513
Children,11072,47932.590000000004,509
Children,11150,47919.26,479
Children,6341,47900.53,421
Children,12686,47856.49,437
Children,12816,47846.8,427
Children,13152,47810.46,444
Children,13491,47799.71,495
Children,11228,47613.21,506
Children,13985,47607.08,499
Children,8629,47426.18,451
Children,9434,47415.62,494
Children,12061,47371.1,462
Children,9252,47234.63,526
Children,12477,47226.78,499
Children,6367,47210.44,431
Children,6991,47182.2,451
Children,6523,47067.95,389
Children,12580,46992.8,447
Children,13750,46951.82,425
Children,9616,46892.63,494
Children,14400,46858.21,501
Children,13933,46815.03,484
Children,4468,46743.340000000004,446
Children,12112,46736.14,431
Children,3480,46683.09,445
Children,11176,46675.31,471
Children,4000,46665.62,399
Children,14817,46528.7,507
Children,12165,46490.64,520
Children,11930,46484.6,486
Children,11566,46432.48,490
Children,11462,46383.56,461
Children,7277,46336.32,437
Children,12190,46318.45,445
Children,6704,46265.61,402
Children,13412,46177.26,416
Children,12503,46167.99,461
Children,7329,46152.22,453
Children,7693,46108.06,418
Children,8317,46081.87,441
Children,9044,46049.48,529
Children,6159,46000.85,456
Children,14660,45977.39,451
Children,14712,45874.61,432
Children,8733,45853.38,446
Children,4546,45843.39,459
Children,13517,45781.99,471
Children,9226,45750.71,518
Children,13648,45639.42,449
Children,9512,45570.87,537
Children,13802,45546.63,414
Children,4338,45544.01,415
Children,7797,45211.65,421
Children,7043,45158.6,438
Children,13180,45147.6,444
Children,6315,45114.71,464
Children,3402,45071.02,448
Children,14506,44977.51,448
Children,5118,44874.97,449
Children,13568,44868.77,441
Children,7511,44841.0,377
Children,7095,44776.96,436
Children,12555,44748.96,481
Children,13439,44745.42,483
Children,14089,44653.85,483
Children,13595,44636.45,466
Children,8992,44630.72,467
Children,6471,44601.77,432
Children,8940,44579.45,371
Children,7537,44521.659999999996,419
Children,8056,44484.65,413
Children,7615,44463.63,438
Children,12529,44433.99,459
Children,14349,44397.87,452
Children,14166,44350.840000000004,433
Children,14713,44317.11,488
Children,7173,44266.020000000004,436
Children,13178,44245.38,424
Children,5716,44220.76,435
Children,12945,44197.66,474
Children,12398,44192.05,435
Children,12243,44186.409999999996,511
Children,10318,44170.06,451
Children,13153,44040.99,459
Children,3766,44018.35,437
Children,12607,44013.45,458
Children,10916,43963.340000000004,483
